

| 序号 | 单词 | 词性 | 释义 |
| 3727 | joyful | adj. | 十分喜悦的，快乐的 |
| 3728 | highly | adv. | 高度地， 极， 非常赞许地 |
| 3729 | full | adj. | 满的；完全的 |
| 3730 | foot | n. | 脚；最下部；英尺 |
| 3731 | tag | vi. | 尾随 n. 附加语；标签 vt. 给…加上标签 |
| 3732 | cash | n. | 现金，现款 vt. 把…兑现 |
| 3733 | movie | n. | 电影；电影院 |
| 3734 | convert | v. | 转变， 转化； 改变 |
| 3735 | although | conj. | 尽管，虽然 |
| 3736 | submerge | v. | 淹没， 潜入水中 |
| 3737 | event | n. | 事件， 大事， 事变 |
| 3738 | jam | n. | 果酱 |
| 3739 | mutton | n. | 羊肉 |
| 3740 | pot | n. | 锅；壶，罐，盆 |
| 3741 | murder | n. | 谋杀，凶杀；谋杀罪 v. 谋杀；杀害 |
| 3742 | language | n. | 语言；语言课程 |
| 3743 | wire | n. | 金属线；电缆 |
| 3744 | honourable | adj. | 光荣的； 可敬的； 正直的 |
| 3745 | nationality | n. | 国籍；民族，族 |
| 3746 | spacecraft | n. | 航天器， 宇宙飞船 |
| 3747 | channel | n. | 海峡， 水道， 航道； 渠道， 途径； 频道 |
| 3748 | lunch | n. | 午餐，（美）便餐 |
| 3749 | form | n. | 形式；形状 v. 形成 |
| 3750 | soak | v. | 浸， 泡 |
| 3751 | mobile | adj. | 运动的； 流动的； 多变的 |
| 3752 | dim | adj. | 昏暗的；朦胧的；模糊不清的 v. 变暗淡 |
| 3753 | death | n. | 死，死亡；灭亡 |
| 3754 | host | n. | 主人；东道主 |
| 3755 | Marxist | adj. | 马克思主义的 n. 马克思主义者 |
| 3756 | pork | n. | 猪肉 |
| 3757 | expect | v. | 预料，预期；等待 |
| 3758 | disorder | n. | 混乱， 杂乱， 骚乱 |
| 3759 | jaw | n. | 颌， 颚 |
| 3760 | peak | vi. | 达到高峰， 达到最大值 adj. 最大值的，高峰的 n. 山顶，顶点 |
| 3761 | practically | adv. | 几乎， 简直； 实际上 |
| 3762 | exclusively | adv. | 专门地 |
| 3763 | noble | adj. | 贵族的；高尚的 |
| 3764 | liberty | n. | 自由； 许可， 准许； 过于随便， 放肆 |
| 3765 | graceful | adj. | 优美的， 优雅的； 得体的 |
| 3766 | sweep | v. | 扫；刮起；扫过 |
| 3767 | countryside | n. | 乡下，农村 |
| 3768 | miss | n. | 小姐 |
| 3769 | hundred | num. | 百，百个 n. 许多 |
| 3770 | tube | n. | 管， 电子管， 显像管 |
| 3771 | jungle | n. | 丛林， 密林， 莽丛； 乱七八糟的一堆 |
| 3772 | fool | n. | 蠢人，傻子 v. 欺骗 |
| 3773 | optical | adj. | 眼的， 光学的， 视觉的 |
| 3774 | attentive | adj. | 注意的；有礼貌的 |
| 3775 | anybody | pron. | 任何人 |
| 3776 | depth | n. | 深度；深厚；深处 |
| 3777 | tire | v. | 疲劳，累；厌倦 |
| 3778 | God | n. | 神，神像；上帝 |
| 3779 | habit | n. | 习惯；习性 |
| 3780 | enlarge | vt. | 扩大， 扩展， 放大 |
| 3781 | revolutionary | adj. | 革命的，革新的 n. 革命者 |
| 3782 | dismiss | vt. | 不再考虑； 解雇， 解散； 驳回 |
| 3783 | dare | v. | 敢；竟敢 |
| 3784 | odour | n. | 气味，味道 |
| 3785 | thunder | vi. | 打雷， 轰隆响； 大声喊， 吼 n. 雷，雷声；擂鼓般的响声，轰隆声 |
| 3786 | enclose | vt. | 围住， 圈起； 附上； 把…装入信封 |
| 3787 | enter | v. | 走进，进入；参加 |
| 3788 | introduce | v. | 介绍；引进；传入 |
| 3789 | pool | n. | 游泳池；水塘，水池 |
| 3790 | daring | adj. | 大胆的，勇敢的 |
| 3791 | postpone | v. | 延迟，推迟，延缓 |
| 3792 | telegram | n. | 电报 |
| 3793 | lifetime | n. | 一生，终身 |
| 3794 | control | v. | 控制；克制 n. 控制 |
| 3795 | bronze | n. | 青铜；青铜制品 |
| 3796 | pit | n. | 地洞，坑；煤矿，矿井 vt. 使有坑 |
| 3797 | lab | n. | 实验室，研究室 |
| 3798 | dynamic | adj. | 有活力的；动力的；不断变化的 n. 动力； 动力学 |
| 3799 | disable | v. | 使无能，使伤残 |
| 3800 | comparative | adj. | 比较的， 相对的 |
| 3801 | gate | n. | 大门；篱笆门 |
| 3802 | seed | n. | 种（子），籽；起因，萌芽 |
| 3803 | fame | n. | 名声， 名望 |
| 3804 | doubtful | adj. | 难以预测的； 怀疑的 |
| 3805 | concert | n. | 音乐会，演奏会 |
| 3806 | famine | n. | 饥荒； 严重的缺乏 |
| 3807 | slice | n. | 薄片，切片；部分 vt. 切， 削 |
| 3808 | celebrate | v. | 庆祝；歌颂，赞美 |
| 3809 | prisoner | n. | 囚犯 |
| 3810 | temporary | adj. | 暂时的， 临时的 |
| 3811 | princess | n. | 公主；王妃 |
| 3812 | ill | adj. | 有病的；坏的 adv. 恶劣地；讨厌地 |
| 3813 | comrade | n. | 亲密的同伴；同志 |
| 3814 | fragment | v. | 成碎片 n. 碎片，破片，碎块 |
| 3815 | problem | n. | 问题；习题，问题 |
| 3816 | enough | det. | 足够的 adv. 足够地 |
| 3817 | bath | n. | 浴，洗澡；浴缸 |
| 3818 | invent | vt. | 发明， 创造； 捏造 |
| 3819 | provision | n. | 供应； 准备； 条款， 规定； 给养， 口粮 |
| 3820 | coordinate | adj. | 同等的， 并列的 vt. 协调， 调节 n. 坐标 |
| 3821 | inside | prep. | 在…里面 n. 内部 |
| 3822 | liberate | vt. | 解放， 释放 |
| 3823 | talk | v. | 讲话；谈论 |
| 3824 | ever | adv. | 在任何时候；曾经 |
| 3825 | bark | vi. | 吠，叫 n. 吠声， 叫声； 树皮 |
| 3826 | horror | n. | 恐怖； 憎恶； 令人恐怖的事物 |
| 3827 | deduce | v. | 演绎，推论，推断 |
| 3828 | angry | adj. | 愤怒的，生气的 |
| 3829 | Asian | adj. | 亚洲的 n. 亚洲人 |
| 3830 | dress | n. | 服装 |
| 3831 | inefficient | adj. | 效率低的，无能的 |
| 3832 | mouthful | n. | 满口，一口 |
| 3833 | hospital | n. | 医院 |
| 3834 | fortnight | n. | 两星期， 十四天 |
| 3835 | chew | vt. | 咀嚼， 嚼碎 |
| 3836 | optional | adj. | 可以任意选择的 |
| 3837 | assist | vt. | 援助， 帮助， 协助 |
| 3838 | carpet | n. | 地毯，毡毯，毛毯 |
| 3839 | probability | n. | 可能性；概率 |
| 3840 | railway | n. | 铁路，铁道 |
| 3841 | each | det,pron. | 各，各自 |
| 3842 | racial | adj. | 种族的， 人种的 |
| 3843 | clerk | n. | 店员， 办事员， 职员 |
| 3844 | asleep | adj. | 睡着的，睡熟的 |
| 3845 | possible | adj. | 可能的；可能存在的 |
| 3846 | hostess | n. | 女主人 |
| 3847 | cathedral | n. | 总教堂；大教堂 |
| 3848 | acceptance | n. | 接受； 承认； 容忍 |
| 3849 | might | v. | 可能，会，也许 |
| 3850 | unite | v. | 联合， 统一 |
| 3851 | recovery | n. | 恢复， 痊愈； 追回， 寻回， 收复 |
| 3852 | fellow | n. | 家伙；伙伴 |
| 3853 | brown | n. | 褐色，棕色 |
| 3854 | blind | adj. | 瞎的；盲目的 |
| 3855 | dash | vi. | 猛冲，击碎 vt. 使猛撞，飞奔；溅 n. 猛冲； 破折号 |
| 3856 | must | v. | 必须；必然要 |
| 3857 | importance | n. | 重要；重要性 |
| 3858 | cap | n. | 帽子，便帽；帽状物 |
| 3859 | captain | n. | 陆军上尉；队长 |
| 3860 | rigid | adj. | 严格的； 死板的； 刚硬的， 僵硬的 |
| 3861 | mistake | n. | 错误 v. 误解，弄错 |
| 3862 | depart | vi. | 离开， 起程， 出发 |
| 3863 | crazy | adj. | 疯狂的，荒唐的 |
| 3864 | butcher | n. | 肉商，肉贩，屠夫 vt. 屠宰， 残杀 |
| 3865 | pay | v. | 支付；付给；给予 |
| 3866 | lonely | adj. | 孤独的；荒凉的 |
| 3867 | corn | n. | 谷物；（英）小麦 |
| 3868 | pierce | vt. | 刺穿， 穿孔于 |
| 3869 | field | n. | 田野；田；运动场 |
| 3870 | compromise | v. | 妥协； 危及； 放弃 n. 妥协，和解，折中办法 |
| 3871 | crane | n. | 起重机， 摄影升降机； 鹤 |
| 3872 | future | n. | 将来，未来；前途 |
| 3873 | external | adj. | 外部的， 外面的 |
| 3874 | fraction | n. | 小部分； 片断； 分数 |
| 3875 | delicate | adj. | 纤细的， 易碎的； 微妙的； 精美的 |
| 3876 | brittle | adj. | 脆的；易损坏的 |
| 3877 | claim | vt. | 声称，主张；对…提出要求，索取；以…为其成果；需要，值得 n. 要求， 认领， 索赔； 声称； 断言 |
| 3878 | about | prep. | 关于；在…周围 |
| 3879 | parade | v. | 游行， 列队前进； 招摇而行 n. 游行；检阅 |
| 3880 | furnish | v. | 装备，布置 （房间、建筑物）；供应，提供 |
| 3881 | mourn | v. | 哀痛，哀悼 |
| 3882 | choice | n. | 选择，抉择 |
| 3883 | liable | adj. | 易于…的； 可能的 |
| 3884 | sum | vi. | 共计 n. 总数；金额；算术 |
| 3885 | foreigner | n. | 外国人 |
| 3886 | mud | n. | 软泥，泥浆 |
| 3887 | fold | v. | 折叠，合拢 n. 褶， 折叠的部分 |
| 3888 | beard | n. | 胡须， 络腮胡子 |
| 3889 | protect | v. | 保护，保卫，警戒 |
| 3890 | airline | n. | 航空公司； 航线 |
| 3891 | Negro | n. | 黑人 |
| 3892 | deep | adj. | 深的；纵深的 |
| 3893 | storey | n. | （层）楼 |
| 3894 | willing | adj. | 愿意的，心甘情愿的 |
| 3895 | quarter | n. | 四分之一；一刻钟 |
| 3896 | obey | v. | 顺从， 服从 |
| 3897 | lightly | adv. | 轻轻地，轻松地 |
| 3898 | case | n. | 情况；病例；事实 |
| 3899 | overcoat | n. | 外衣，大衣 |
| 3900 | niece | n. | 侄女， 外甥女 |
| 3901 | tyre | n. | 轮胎， 车胎 |
| 3902 | failure | n. | 失败， 失败的人； 失灵， 故障； 不履行 |
| 3903 | beauty | n. | 美，美丽；美人 |
| 3904 | painting | n. | 油画；绘画；着色 |
| 3905 | drown | v. | 淹死，溺死 |
| 3906 | pressure | n. | 压，压强；压迫 vt. 对…施加压力， 迫使 |
| 3907 | remarkable | adj. | 值得注意的， 引人注目的； 异常的， 非凡的 |
| 3908 | muscle | n. | 肌肉， 体力； 力量， 实力 |
| 3909 | nap | n. | 小睡，打盹，瞌睡 |
| 3910 | polish | vt. | 磨光；修改，润色，使优美 n. 擦光剂 |
| 3911 | company | n. | 公司，商号；同伴 |
| 3912 | computer | n. | 计算机，电脑 |
| 3913 | transformer | n. | 变压器 |
| 3914 | politician | n. | 政治家， 政客 |
| 3915 | regard | v. | 把…看作 |
| 3916 | oral | adj. | 口头的； 口的 |
| 3917 | height | n. | 高，高度；高处 |
| 3918 | bit | n. | 一点，一些，小片 |
| 3919 | sole | adj. | 单独的， 唯一的 n. 脚底，鞋底，袜底 |
| 3920 | imprison | v. | 关押，监禁；限制 |
| 3921 | folk | n. | 人们； 家属， 亲属； 大伙儿， 各位 |
| 3922 | carve | v. | 刻，雕刻；切开 |
| 3923 | practice | n. | 练习；实践；业务 |
| 3924 | rapid | adj. | 快的 |
| 3925 | insure | vt. | 为…投保； 确保 |
| 3926 | loyal | adj. | 忠诚的， 忠心的 |
| 3927 | dull | adj. | 乏味的， 单调的； 晦暗的， 阴沉的； 低沉的； 笨的； 钝的 |
| 3928 | ghost | n. | 鬼， 灵魂， 鬼魂 |
| 3929 | mortal | adj. | 终有一死的；致死的 |
| 3930 | iron | n. | 铁 v. 烫（衣） |
| 3931 | China | n. | 中国 |
| 3932 | volume | n. | 卷， 册， 书卷； 容积， 体积； 音量， 响度 |
| 3933 | bull | n. | 公牛；雄的象 |
| 3934 | crime | n. | 罪， 罪行， 犯罪 |
| 3935 | debate | n. | 争论，辩论 v. 争论，辩论 |
| 3936 | newspaper | n. | 报纸，报 |
| 3937 | pencil | n. | 铅笔 |
| 3938 | courage | n. | 勇气，胆量，胆识 |
| 3939 | forehead | n. | 额头； 前部 |
| 3940 | place | n. | 地方，地点；住所 |
| 3941 | joke | n. | 笑话 v. 说笑话 |
| 3942 | sheet | n. | 被单；纸张；薄板 |
| 3943 | dot | n. | 点，圆点 vt. 打点于 |
| 3944 | balance | vt. | 使平衡；称；权衡，比较 n. 天平； 平衡； 结存， 结欠 |
| 3945 | melon | n. | 瓜，甜瓜 |
| 3946 | cucumber | n. | 黄瓜 |
| 3947 | flame | n. | 火焰， 光辉； 热情 |
| 3948 | less | adj. | 更少的 adv. 更少地 |
| 3949 | peace | n. | 和平；平静；和睦 |
| 3950 | basis | n. | 基础， 根据； 原则 |
| 3951 | once | adv. | 一次；曾经 |
| 3952 | bus | n. | 公共汽车 |
| 3953 | husband | n. | 丈夫 |
| 3954 | haircut | n. | 理发 |
| 3955 | kiss | v. | 吻 n. 吻 |
| 3956 | pet | n. | 爱畜；宠儿 |
| 3957 | cordial | adj. | 真诚的，诚恳的 |
| 3958 | sketch | v. | 绘…的略图， 画…的素描； 概述 n. 略图；梗概；素描，速写 |
| 3959 | avenue | n. | 林荫道， 道路， 大街 |
| 3960 | bright | adj. | 明亮的；聪明的 |
| 3961 | intimate | adj. | 亲密的；个人的 n. 至交， 密友 vt. 暗示， 提示 |
| 3962 | pride | n. | 骄傲；自豪 v. 自夸 |
| 3963 | ore | n. | 矿，矿石，矿砂 |
| 3964 | cupboard | n. | 柜橱； 碗碟橱， 食橱 |
| 3965 | battery | n. | 电池， 蓄电池； 排炮， 炮组； 一系列， 一套 |
| 3966 | impression | n. | 印象； 印记 |
| 3967 | waterproof | adj. | 不透水的， 防水的 |
| 3968 | find | v. | 找到；找出；发觉 |
| 3969 | chapter | n. | 章， 回， 篇 |
| 3970 | powerful | adj. | 强大的， 有力的， 有权的； 强壮的， 强健的 |
| 3971 | overtime | n. | 加班；加班的时间 |
| 3972 | carrier | n. | 运输工具， 运载工具； 带菌者； 载重架， 置物架 |
| 3973 | troop | vi. | 成群结队而行 n. 军队，部队；一群，大量 |
| 3974 | garbage | n. | 垃圾， 废物； 废话； 无用的资料 |
| 3975 | nasty | adj. | 龌龊的；淫猥的 |
| 3976 | aboard | adv&prep. | 在船上， 上船 |
| 3977 | outdoor | adj. | 户外的，室外的 |
| 3978 | accuse | vt. | 指责， 归咎于 |
| 3979 | heaven | n. | 天堂；天，天空 |
| 3980 | medicine | n. | 内服药；医学 |
| 3981 | Europe | n. | 欧洲 |
| 3982 | examine | v. | 检查，仔细观察 |
| 3983 | halt | vt. | 停止，立定 n. 停住 |
| 3984 | opening | adj. | 开首的，开始的 n. 口子， 洞， 孔； 开始； 空缺 |
| 3985 | silence | n. | 沉默 v. 使沉默 |
| 3986 | missile | n. | 导弹， 飞弹， 投射物 |
| 3987 | executive | adj. | 执行的 n. 执行者 |
| 3988 | reliability | n. | 可靠性 |
| 3989 | granddaughter | n. | 孙女，外孙女 |
| 3990 | occasional | adj. | 偶尔的， 间或发生的 |
| 3991 | fortunate | adj. | 幸运的；侥幸的 |
| 3992 | ear | n. | 耳朵；听力，听觉 |
| 3993 | sequence | n. | 连续， 接续， 一连串； 次序， 顺序 |
| 3994 | link | v. | 连接，联系 n. 环节， 联系， 纽带 |
| 3995 | actual | adj. | 实际的 |
| 3996 | after | prep. | 在…以后；次于 |
| 3997 | recently | adv. | 最近， 新近 |
| 3998 | intellectual | n. | 知识分子 adj. 智力的 |
| 3999 | rotate | v. | 旋转， 转动； 轮流 |
| 4000 | deck | n. | 甲板， 舱面； 层面 |
| 4001 | plough | n. | 犁 v. 犁，耕 |
| 4002 | perhaps | adv. | 也许，可能，多半 |
| 4003 | acid | adj. | 酸的， 酸性的 n. 酸 |
| 4004 | elect | vt. | 选举， 推选； 选择 |
| 4005 | cent | n. | 分；分币 |
| 4006 | arbitrary | adj. | 随心所欲的， 专断的 |
| 4007 | either | det,pron. | （两者）任何一个 |
| 4008 | Atlantic | adj. | 大西洋的 n. 大西洋 |
| 4009 | actor | n. | 演剧的人 |
| 4010 | fever | n. | 发热，发烧；狂热 |
| 4011 | mostly | adv. | 主要的，大部分 |
| 4012 | player | n. | 游戏的人；比赛者 |
| 4013 | swell | vi. | 膨胀，隆起；增长，增强，增多，扩大 n. 波浪起伏； 鼓起， 隆起； 增强 |
| 4014 | experience | n. | 经验，感受；经历 |
| 4015 | creative | adj. | 创造性的， 创作的 |
| 4016 | perfect | adj. | 完美的；完全的 |
| 4017 | affection | n. | 感情； 爱， 爱慕 |
| 4018 | largely | adv. | 大部分， 大量地 |
| 4019 | extent | n. | 广度； 范围； 程度 |
| 4020 | better | adj. | 较好的 adv. 更好地 |
| 4021 | moreover | adv. | 而且， 再者， 此外 |
| 4022 | exit | n. | 出口；退场 v. 退出 |
| 4023 | chairman | n. | 主席；议长，会长 |
| 4024 | journal | n. | 日报， 杂志， 日志 |
| 4025 | below | prep. | 在…下面（以下） |
| 4026 | belief | n. | 信任， 相信； 信念 |
| 4027 | minority | n. | 少数； 少数民族 |
| 4028 | over | prep. | 在…上方；超过 |
| 4029 | conversation | n. | 会话，非正式会谈 |
| 4030 | factory | n. | 工厂，制造厂 |
| 4031 | cherry | n. | 樱桃；樱桃树 |
| 4032 | else | adv. | 其它，另外 adj. 别的 |
| 4033 | mouse | n. | 鼠，耗子 |
| 4034 | disk | n. | 圆盘，唱片；磁盘 |
| 4035 | fundamental | adj. | 基础的，基本的 n. 基本原则 |
| 4036 | liquor | n. | 酒， 烈性酒 |
| 4037 | pillow | n. | 枕头 |
| 4038 | grip | v. | 握紧，抓牢；吸引住 n. 紧握 |
| 4039 | limitation | n. | 限制， 限度； 局限 |
| 4040 | chief | adj. | 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长 |
| 4041 | dark | adj. | 暗的；黑色的 |
| 4042 | stoop | v. | 俯身，弯腰；堕落，自贬 n. 弯腰， 曲背 |
| 4043 | parliament | n. | 议会， 国会 |
| 4044 | weld | v. | 焊接，熔接 n. 焊接点 |
| 4045 | hang | v. | 挂，悬；吊死 |
| 4046 | pacific | adj. | 和平的 n. 太平洋 |
| 4047 | against | prep. | 倚在；逆，对着 |
| 4048 | blood | n. | 血，血液；血统 |
| 4049 | life | n. | 生命；一生；寿命 |
| 4050 | cannon | n. | 大炮，火炮；榴弹炮 |
| 4051 | evening | n. | 傍晚，黄昏，晚上 |
| 4052 | confine | vt. | 限制， 使局限； 使不外出， 禁闭 |
| 4053 | ceiling | n. | 天花板，顶蓬 |
| 4054 | just | adv. | 正好；只是；刚才 |
| 4055 | necessity | n. | 必需品； 必要性， 需要 |
| 4056 | mercury | n. | 水银，汞 |
| 4057 | materialism | n. | 唯物主义 |
| 4058 | let | v. | 允许，让；使 |
| 4059 | darling | n. | 亲爱的人；宠儿 |
| 4060 | billion | num. | 万亿（英） |
| 4061 | incident | n. | 发生的事， 事件 |
| 4062 | head | n. | 头；上端 v. 率领 |
| 4063 | acquaintance | n. | 认识， 了解； 熟人 |
| 4064 | fifty | num. | 五十，五十个 |
| 4065 | people | n. | 人；人民，民族 |
| 4066 | injection | n. | 注射， 注入； 充满 |
| 4067 | indignant | adj. | 愤慨的，义愤的 |
| 4068 | transparent | adj. | 透明的； 易识破的； 明显的， 清楚的 |
| 4069 | around | prep. | 在…周围 |
| 4070 | everybody | pron. | 每人，人人 |
| 4071 | cart | n. | 二轮运货马车 |
| 4072 | theoretical | adj. | 理论（上）的 |
| 4073 | herd | n. | 兽群，牧群 vt. 放牧 |
| 4074 | England | n. | 英格兰；英国 |
| 4075 | sportsman | n. | 运动员 |
| 4076 | intensity | n. | 强烈，剧烈；〔光、声等的〕强度 |
| 4077 | violet | adj. | 紫色的 n. 紫罗兰 |
| 4078 | agree | v. | 同意；持相同意见 |
| 4079 | lens | n. | 透镜， 镜片， 镜头 |
| 4080 | attitude | n. | 态度， 看法； 姿势 |
| 4081 | dirt | n. | 灰尘， 土； 污物， 污垢 |
| 4082 | slender | adj. | 细长的， 苗条的； 微薄的， 不足的 |
| 4083 | drawer | n. | 抽屉 |
| 4084 | ray | n. | 光线；射线，辐射线 |
| 4085 | delicious | adj. | 美味的； 芬芳的， 怡人的； 有趣的 |
| 4086 | thread | n. | 线；丝；螺纹；头绪 |
| 4087 | poet | n. | 诗人 |
| 4088 | somehow | adv. | 由于某种原因， 不知怎么的； 以某种方式 |
| 4089 | mate | v. | 成为配偶， 交配 n. 伙伴，同事；配偶，配对物；大副 |
| 4090 | across | prep. | 横过；在…对面 |
| 4091 | landlady | n. | 女房东；女地主 |
| 4092 | attend | v. | 出席；照顾，护理 |
| 4093 | proof | adj. | 耐…的， 能防…的 n. 证据，证明；校样，样张 |
| 4094 | cover | v. | 盖；包括 n. 盖子 |
| 4095 | fasten | v. | 扎牢， 扣住 |
| 4096 | push | v. | 推；鼓励；敦促；逼迫 |
| 4097 | rib | n. | 肋，肋骨 |
| 4098 | light | adj. | 轻的；少量的 |
| 4099 | earthquake | n. | 地震， 大震荡 |
| 4100 | make | v. | 做，制造；使 |
| 4101 | wind | v. | 绕，缠绕 |
| 4102 | guilty | adj. | 内疚的； 有罪的 |
| 4103 | blaze | n. | 火；闪光 v. 燃烧 |
| 4104 | cloudy | adj. | 多云的；云一般的 |
| 4105 | grandson | n. | 孙子，外孙子 |
| 4106 | feeling | n. | 感觉，知觉；感情 |
| 4107 | trap | n. | 陷阱，捕捉器；圈套，诡计；困境 vt. 设陷阱捕捉； 诱骗 |
| 4108 | race | n. | 比赛，竞赛，竞争 |
| 4109 | overlook | vt. | 忽视； 宽恕； 俯瞰 |
| 4110 | spade | n. | 铲， 铁锹 |
| 4111 | whistle | v. | 吹口哨， 鸣笛声； 呼啸而过 n. 口哨；呼啸而过 |
| 4112 | action | n. | 行动； 已做的事； 作用， 功能； 情节 |
| 4113 | bolt | n. | 螺栓，插销 vt. 闩门 |
| 4114 | drug | n. | 药，药物，药材 |
| 4115 | nitrogen | n. | 氮 |
| 4116 | listen | v. | 听，留神听；听从 |
| 4117 | murderer | n. | 杀人犯，凶手 |
| 4118 | inhabitant | n. | 居民， 住户 |
| 4119 | instead | adv. | 作为替代； 却， 反而 |
| 4120 | alike | adv. | 一样地， 相似地； 同样程度地 adj. 同样的，相同的 |
| 4121 | lesson | n. | 功课，课；课程 |
| 4122 | medium | adj. | 中等的 n. 媒体；媒介物，传导体 |
| 4123 | lest | conj. | 唯恐， 以免 |
| 4124 | butter | n. | 黄油；奶油 |
| 4125 | pill | n. | 药丸，丸剂 |
| 4126 | fairly | adv. | 相当， 尚可， 还； 公平地 |
| 4127 | horn | n. | 角； 号角； 警报器 |
| 4128 | preposition | n. | 前置词，介词 |
| 4129 | fruitful | adj. | 多产的， 肥沃的 |
| 4130 | middle | n. | 中部 adj. 中部的 |
| 4131 | leap | v. | 跳，跃 n. 跳跃； 骤变 |
| 4132 | million | num. | 百万 n. 许多 |
| 4133 | know | v. | 知道；认识；通晓 |
| 4134 | biology | n. | 生物学， 生态学 |
| 4135 | independent | adj. | 独立的， 自主的； 无偏见的； 不相关联的 |
| 4136 | wheel | n. | 轮，车轮 |
| 4137 | hole | n. | 洞；孔眼；裂开处 |
| 4138 | bay | n. | 湾； 分隔间 |
| 4139 | forbid | vt. | 禁止， 不许， 阻止 |
| 4140 | refer | v. | 谈到 |
| 4141 | finally | adv. | 最后； 决定性地 |
| 4142 | nylon | n. | 尼龙，耐纶 |
| 4143 | ambition | n. | 雄心， 抱负； 野心； 期望得到的东西 |
| 4144 | electric | adj. | 电的， 电动的 |
| 4145 | velocity | n. | 速度 |
| 4146 | relax | v. | 放松， 松弛； 放宽， 缓和 |
| 4147 | golf | n. | 高尔夫球运动 |
| 4148 | bone | n. | 骨，骨骼 |
| 4149 | glory | n. | 光荣， 荣誉的事； 美丽 |
| 4150 | want | n. | 需要；缺乏 |
| 4151 | examination | n. | 考试；检查，细查 |
| 4152 | kindness | n. | 仁慈， 好意 |
| 4153 | terror | n. | 恐怖， 惊骇； 引起恐怖的人或事 |
| 4154 | heroine | n. | 女英雄；女主角 |
| 4155 | cricket | n. | 板球；蟋蟀 |
| 4156 | curve | v. | 弯曲 n. 曲线，弯，弯曲处 |
| 4157 | structural | adj. | 结构的，构造的 |
| 4158 | pond | n. | 池塘 |
| 4159 | precaution | n. | 预防； 防备， 警惕 |
| 4160 | shore | n. | 滨，岸 |
| 4161 | autumn | n. | 秋，秋季 |
| 4162 | question | n. | 问题；疑问 |
| 4163 | front | adj. | 前面的 n. 前部 |
| 4164 | broadcast | n. | 广播，播音 |
| 4165 | fur | n. | 软毛， 毛皮， 裘皮； 毛皮衣服 |
| 4166 | pronoun | n. | 代词 |
| 4167 | coarse | adj. | 粗的， 粗糙的； 粗劣的； 粗俗的 |
| 4168 | clarify | vt. | 澄清， 阐明 |
| 4169 | remote | adj. | 遥远的； 偏僻的； 关系疏远的； 脱离的； 微乎其微的； 孤高的， 冷淡的； 遥控的 |
| 4170 | investigation | n. | 调查，调查研究 |
| 4171 | boat | n. | 小船，艇 |
| 4172 | attractive | adj. | 有吸引力的， 引起注意的 |
| 4173 | occupy | vt. | 占领， 占， 占有 |
| 4174 | agony | n. | 极度痛苦 |
| 4175 | platform | n. | 平台， 站台， 讲台； 纲领， 宣言 |
| 4176 | communism | n. | 共产主义 |
| 4177 | not | adv. | 不，没有 |
| 4178 | intensive | adj. | 加强的； 精深的， 透彻的； 精耕细作的 |
| 4179 | maybe | adv. | 大概，或许；也许 |
| 4180 | disgust | n&vt. | 厌恶， 憎恶 |
| 4181 | utilize | vt. | 利用 |
| 4182 | protection | n. | 保护， 防护 |
| 4183 | connect | vt. | 连接， 结合， 联系； 给…接通电话 |
| 4184 | salary | n. | 薪金， 薪水 |
| 4185 | click | v. | 发出咔嗒声；点击 n. 咔嗒声 |
| 4186 | temper | n. | 韧度；心情，情绪 vt. 调和， 使缓和； 【冶】使回火 |
| 4187 | multicultural | adj. | 融合多种文化的 |
| 4188 | concede | vt. | 承认， 承认…为真； 承认失败； 允许， 让予； 让步， 认输 |
| 4189 | weekly | adv. | 每周 adj. 每周的 |
| 4190 | result | vi. | 发生； 结果 n. 结果；成果；比分 |
| 4191 | sexism | n. | 性别偏见， 性别歧视 |
| 4192 | editorial | adj. | 编辑的，主笔的，编者的；社论的，社论式的 n. 社论， 重要评论 |
| 4193 | rebuild | v. | 重建， 改造； 复原 |
| 4194 | sunset | n. | 日落； 晚霞 |
| 4195 | dominate | vi. | 拥有优势 vt. 在…中占首要地位；支配，统治，控制；耸立于，俯视 |
| 4196 | provocation | n. | 激怒， 刺激； 挑衅， 挑拨 |
| 4197 | Christ | n. | 基督， 救世主 |
| 4198 | fantasy | n. | 想象， 幻想； 想象的产物 |
| 4199 | frustrate | vt. | 使沮丧， 使灰心； 挫败， 使受挫折 |
| 4200 | rope | n. | 绳，索 vt. 用绳捆 |
| 4201 | wisdom | n. | 智慧， 才智； 名言 |
| 4202 | umbrella | n. | 伞， 雨伞 |
| 4203 | halfway | adv. | 半路地； 在中途， 在半途 adj. 中途的；部分的；不彻底的 |
| 4204 | up-to-date | adj. | 直到最近的， 现代的； 跟上时代的 |
| 4205 | translation | n. | 翻译； 译文， 译本 |
| 4206 | bump | vi. | 碰，撞；颠簸着前进 n. 碰撞， 猛撞； 肿块； 隆起物 |
| 4207 | considering | prep. | 鉴于， 考虑到， 顾及 |
| 4208 | draught | n. | 穿堂风，冷风 adj. 〔啤酒〕桶装的，散装的 |
| 4209 | integration | n. | 综合 |
| 4210 | guy | n. | 家伙， 伙计 |
| 4211 | violence | n. | 猛烈， 激烈； 暴力 |
| 4212 | cop | n. | 警察 |
| 4213 | lad | n. | 男孩， 小伙子 |
